UniqueID	Conference	ConferenceNo	Year	Subfield
2	WCCFL	33	2015	p
7	WCCFL	33	2015	p
13	WCCFL	33	2015	p
17	WCCFL	33	2015	p
21	WCCFL	33	2015	p
24	WCCFL	33	2015	p
27	WCCFL	33	2015	p
28	WCCFL	33	2015	p
31	WCCFL	33	2015	p
33	WCCFL	33	2015	p
35	WCCFL	33	2015	p
36	WCCFL	33	2015	p
43	WCCFL	32	2014	p
46	WCCFL	32	2014	p
47	WCCFL	32	2014	p
48	WCCFL	32	2014	p
49	WCCFL	32	2014	p
87	WCCFL	31	2013	p
101	WCCFL	31	2013	p
123	WCCFL	31	2013	p
126	WCCFL	31	2013	p
132	WCCFL	31	2013	p
139	WCCFL	30	2012	p
141	WCCFL	30	2012	p
151	WCCFL	30	2012	p
155	WCCFL	30	2012	p
157	WCCFL	30	2012	p
162	WCCFL	30	2012	p
164	WCCFL	29	2011	p
166	WCCFL	29	2011	p
171	WCCFL	29	2011	p
177	WCCFL	29	2011	p
179	WCCFL	29	2011	p
180	WCCFL	29	2011	p
181	WCCFL	29	2011	p
182	WCCFL	29	2011	p
183	WCCFL	29	2011	p
196	WCCFL	29	2011	p
198	WCCFL	29	2011	p
204	WCCFL	29	2011	p
205	WCCFL	29	2011	p
207	WCCFL	29	2011	p
209	WCCFL	29	2011	p
213	WCCFL	28	2010	p
214	WCCFL	28	2010	p
225	WCCFL	28	2010	p
228	WCCFL	28	2010	p
230	WCCFL	28	2010	p
232	WCCFL	28	2010	p
233	WCCFL	28	2010	p
234	WCCFL	28	2010	p
235	WCCFL	28	2010	p
236	WCCFL	28	2010	p
237	WCCFL	28	2010	p
238	WCCFL	28	2010	p
239	WCCFL	28	2010	p
241	WCCFL	28	2010	p
242	WCCFL	28	2010	p
243	WCCFL	27	2008	p
245	WCCFL	27	2008	p
252	WCCFL	27	2008	p
256	WCCFL	27	2008	p
259	WCCFL	27	2008	p
261	WCCFL	27	2008	p
262	WCCFL	27	2008	p
269	WCCFL	27	2008	p
